34	4	15	18	"Stillman & Birn Beta Series Hardbound Premium Sketchbook, 5.5"" x 8.5"""	"The Beta Series Sketchbook from Stillman & Birn features extra heavyweight, 270 gsm white paper hardbound with a high-density board, resistant to warping. The white, mixed media cold press paper has a substantial tooth and works well with all wet media, dry media, light washes, and inks. Portrait, 5.5"" x 8.5"".  26 sheets, 52 pages."	"stillman-&-birn-beta-series-hardbound-premium-sketchbook"
35	4	15	18	"Stillman & Birn Nova Series Wirebound Premium Sketchbook"	"The Nova Series Sketchbook from Stillman & Birn features heavyweight, 150 gsm white paper wirebound with high density board, resistant to warping. The white, mixed media paper has a medium grain surface and works well with all dry media, light washes, and inks. This portrait sketchbook comes in a few different sizes and colors, select from the dropdown below. Portrait, 6"" x 8"" 50 sheets, 100 pages."	"stillman-&-birn-nova-series-wirebound-premium-sketchbook"
36	4	16	19	"Strathmore 200 Series Watercolor Pads"	"These watercolor paper pads are ideal for use with water-based media including watercolor, tempera, acrylic, gouache or poster paint. Each pad is tape-bound at the top and contains.  15 sheets of 90 lb., acid-free, cold-press surfaced paper. "	"strathmore-200-series-watercolor"
37	4	16	19	"Strathmore 300 Series Cold-Pressed Watercolor Pads"	"An economical, heavy-weight, acid-free paper with a rough, non-mechanical surface that adapts beautifully to a variety of watercolor techniques.  12 sheets per pad."	"strathmore-300-series-watercolor"
38	4	16	19	"Strathmore 400 Series Cold-Press Watercolor Blocks"	"This blended wood pulp paper has a professional grade random surface. Recommended for intermediate and advanced watercolorists for mastering their technique. 15 sheets. Acid-free, 140 lb., Heavy Weight"	"strathmore-400-series-watercolor"
39	4	17	19	"Strathmore 200 Series Drawing Pad - 9"" x 12"""	"Strathmore 200 Series Drawing Pad can be used for drawing, sketching and final work. Works best with pencil, colored pencil and charcoal. Pad is 9"" x 12"" and comes with 40 sheets."	"strathmore-200-series-drawing"
40	4	17	19	"Strathmore 300 Series Drawing Pads"	"An economical, 70 lb., white, acid-free drawing paper with a regular surface. Ideal for crayon, pencil, pen and ink, charcoal, watercolor or felt marker.  50 sheets per spiral bound pad."	"strathmore-300-series-drawing"
41	4	17	19	"Strathmore 400 Series Drawing Pads"	"Versatile sheets of cream colored drawing paper for sketching and most finished work. The Medium surface readily accepts pen and ink, pencil, charcoal, crayon and markers. The Smooth surface, with its non-reflective finish and uniform formation, is especially suited for line drawing and technical work.  24 sheets. 80 lb. and acid-free per spiral-bound pad."	"strathmore-400-series-drawing"
42	4	18	20	"Fabriano Ecoqua Gluebound Notebooks"	"Environmentally friendly gluebound notebooks - perfect for artists, writers, lovers and dreamers - featuring acid-free paper and scratch-resistant cover. Available in 2 sizes and 8 different colors. Biodegradable and recyclable. 90 sheets of dotted grid paper."	"fabriano-ecoqua-gluebound-notebook"
43	1	4	14	"Holbein Artists' Acryla Gouache"	"Holbein Acryla Gouache uses an acryl resin binder to provide an opaque, matte, and water resistant finish. The colors will not shift from wet to dry the same way they do for an artist acrylic - which is why illustrators and designers prefer Holbein Acryla Gouache to basic acrylic paint."	"holbein-acryla-gouache"
44	1	4	12	"Talens Opaque 24 Pan Watercolor Set"	"Talens Opaque Watercolors provide solid gouache like coverage in 24 removable and circular watercolor pans, as well as a 5ml tube of opaque white."	"talens-opaque-watercolor-24-pan-set"
